Date,Prices,Log price,Log Return,Hypothetical Portfolio Loss,EWMA Means
9/25/2013,1692.77,7.434121519,-0.002743211,0.002739452,-0.000516573
9/26/2013,1698.67,7.437600871,0.003479352,-0.003485411,-0.000605638
9/27/2013,1691.75,7.433518775,-0.004082096,0.004073775,-0.000465256
9/30/2013,1681.55,7.427471266,-0.006047509,0.00602926,-0.00027042
10/1/2013,1695,7.43543802,0.007966754,-0.007998573,-0.000502265
10/2/2013,1693.87,7.434771131,-0.000666889,0.000666667,-0.000467197
10/3/2013,1678.66,7.425751135,-0.009019996,0.008979438,-0.000183798
10/4/2013,1690.5,7.432779622,0.007028487,-0.007053245,-0.000389881
10/7/2013,1676.12,7.424236878,-0.008542745,0.008506359,-0.000122994
10/8/2013,1655.45,7.411828154,-0.012408723,0.012332053,0.000250657
10/9/2013,1656.4,7.412401852,0.000573697,-0.000573862,0.000225922
10/10/2013,1692.56,7.433997455,0.021595603,-0.021830476,-0.00043577
10/11/2013,1703.2,7.440264114,0.006266659,-0.006286335,-0.000611287
10/14/2013,1710.14,7.444330517,0.004066404,-0.004074683,-0.000715189
10/15/2013,1698.06,7.437241702,-0.007088816,0.007063749,-0.000481821
10/16/2013,1721.54,7.450974518,0.013732816,-0.013827544,-0.000882193
10/17/2013,1733.15,7.457695841,0.006721323,-0.006743962,-0.001058046
10/18/2013,1744.5,7.464223261,0.00652742,-0.00654877,-0.001222767
10/21/2013,1744.66,7.464314973,9.17E-05,-9.17E-05,-0.001188835
10/22/2013,1754.67,7.470036084,0.005721111,-0.005737508,-0.001325296
10/23/2013,1746.38,7.465300353,-0.004735731,0.004724535,-0.001143801
10/24/2013,1752.07,7.468553225,0.003252872,-0.003258168,-0.001207232
10/25/2013,1759.77,7.472938398,0.004385173,-0.004394802,-0.001302859
10/28/2013,1762.11,7.474267234,0.001328836,-0.001329719,-0.001303665
10/29/2013,1771.95,7.479835914,0.00556868,-0.005584214,-0.001432081
10/30/2013,1763.31,7.474948004,-0.00488791,0.004875984,-0.001242839
10/31/2013,1756.54,7.471101244,-0.00384676,0.00383937,-0.001090373
11/1/2013,1761.64,7.474000472,0.002899228,-0.002903435,-0.001144765
11/4/2013,1767.93,7.47756465,0.003564177,-0.003570537,-0.001217538
11/5/2013,1762.97,7.474755166,-0.002809484,0.002805541,-0.001096846
11/6/2013,1770.49,7.479011623,0.004256458,-0.004265529,-0.001191906
11/7/2013,1747.15,7.465741168,-0.013270455,0.013182791,-0.000760665
11/8/2013,1770.61,7.479079399,0.013338231,-0.013427582,-0.001140673
11/11/2013,1771.89,7.479802052,0.000722654,-0.000722915,-0.00112814
11/12/2013,1767.69,7.477428888,-0.002373164,0.00237035,-0.001023185
11/13/2013,1782,7.485491608,0.00806272,-0.008095311,-0.001235349
11/14/2013,1790.62,7.490317208,0.0048256,-0.004837262,-0.001343406
11/15/2013,1798.18,7.494530321,0.004213114,-0.004222001,-0.001429764
11/18/2013,1791.53,7.490825282,-0.003705039,0.003698184,-0.001275926
11/19/2013,1787.87,7.488780246,-0.002045036,0.002042947,-0.00117636
11/20/2013,1781.37,7.48513801,-0.003642236,0.003635611,-0.001032
11/21/2013,1795.85,7.493233726,0.008095716,-0.008128575,-0.001244898
11/22/2013,1804.76,7.498182898,0.004949171,-0.004961439,-0.001356394
11/25/2013,1802.48,7.496918773,-0.001264125,0.001263326,-0.001277802
11/26/2013,1802.75,7.497068556,0.000149782,-0.000149794,-0.001243962
11/27/2013,1807.23,7.499550565,0.002482009,-0.002485092,-0.001281196
11/29/2013,1805.81,7.498764524,-0.000786042,0.000785733,-0.001219188
12/2/2013,1800.9,7.496041819,-0.002722705,0.002719001,-0.001101042
12/3/2013,1795.15,7.492843863,-0.003197956,0.003192848,-0.000972226
12/4/2013,1792.81,7.4915395,-0.001304363,0.001303512,-0.000903954
12/5/2013,1785.03,7.487190501,-0.004349,0.004339556,-0.000746648
12/6/2013,1805.09,7.498365731,0.01117523,-0.011237906,-0.001061386
12/9/2013,1808.37,7.500181166,0.001815435,-0.001817084,-0.001084057
12/10/2013,1802.62,7.496996441,-0.003184725,0.003179659,-0.000956145
12/11/2013,1782.22,7.485615057,-0.011381384,0.011316861,-0.000587955
12/12/2013,1775.5,7.481837352,-0.003777705,0.003770578,-0.000457199
12/13/2013,1775.32,7.481735967,-0.000101385,0.00010138,-0.000440442
12/16/2013,1786.54,7.488036067,0.0063001,-0.006319987,-0.000616828
12/17/2013,1781,7.484930283,-0.003105784,0.003100966,-0.000505294
12/18/2013,1810.65,7.501441176,0.016510893,-0.016647951,-0.000989574
12/19/2013,1809.6,7.500861105,-0.00058007,0.000579902,-0.00094249
12/20/2013,1818.32,7.505668277,0.004807171,-0.004818744,-0.001058777
12/23/2013,1827.99,7.510972282,0.005304005,-0.005318096,-0.001186557
12/24/2013,1833.32,7.51388381,0.002911528,-0.002915771,-0.001238433
12/26/2013,1842.02,7.518618075,0.004734265,-0.004745489,-0.001343645
12/27/2013,1841.4,7.518281431,-0.000336644,0.000336587,-0.001293238
12/30/2013,1841.07,7.518102203,-0.000179228,0.000179211,-0.001249065
12/31/2013,1848.36,7.522054038,0.003951835,-0.003959654,-0.001330382
1/2/2014,1831.98,7.513152628,-0.00890141,0.00886191,-0.001024614
1/3/2014,1831.37,7.5128196,-0.000333029,0.000332973,-0.000983886
1/6/2014,1826.77,7.510304659,-0.002514941,0.002511781,-0.000879016
1/7/2014,1837.88,7.516368012,0.006063353,-0.006081773,-0.001035099
1/8/2014,1837.49,7.516155789,-0.000212224,0.000212201,-0.00099768
1/9/2014,1838.13,7.516504029,0.000348241,-0.000348301,-0.000978198
1/10/2014,1842.37,7.518808065,0.002304036,-0.002306692,-0.001018053
1/13/2014,1819.2,7.506152123,-0.012655942,0.012576193,-0.000610226
1/14/2014,1838.88,7.51691197,0.010759847,-0.010817942,-0.000916457
1/15/2014,1848.38,7.522064859,0.005152889,-0.005166188,-0.001043949
1/16/2014,1845.89,7.520716825,-0.001348034,0.001347126,-0.000972217
1/17/2014,1838.7,7.516814079,-0.003902746,0.00389514,-0.000826196
1/21/2014,1843.8,7.519583938,0.002769859,-0.002773699,-0.000884621
1/22/2014,1844.86,7.520158673,0.000574734,-0.0005749,-0.00087533
1/23/2014,1828.46,7.511229361,-0.008929311,0.008889563,-0.000582383
1/24/2014,1790.29,7.490132897,-0.021096465,0.020875491,6.13533E-05
1/27/2014,1781.56,7.485244664,-0.004888233,0.004876305,0.000205802
1/28/2014,1792.5,7.491366572,0.006121909,-0.006140686,1.54073E-05
1/29/2014,1774.2,7.481104896,-0.010261676,0.010209205,0.000321221
1/30/2014,1794.19,7.492308946,0.01120405,-0.01126705,-2.6427E-05
1/31/2014,1782.59,7.485822642,-0.006486304,0.006465313,0.000168325
2/3/2014,1741.89,7.46272601,-0.023096632,0.022831947,0.000848234
2/4/2014,1755.2,7.47033809,0.00761208,-0.007641125,0.000593553
2/5/2014,1751.64,7.468307771,-0.002030319,0.002028259,0.000636594
2/6/2014,1773.43,7.480670803,0.012363033,-0.012439771,0.000244303
2/7/2014,1797.02,7.493885016,0.013214213,-0.013301906,-0.000162083
2/10/2014,1799.84,7.495453051,0.001568035,-0.001569265,-0.000204298
2/11/2014,1819.75,7.506454408,0.011001357,-0.011062094,-0.000530032
2/12/2014,1819.26,7.506185104,-0.000269304,0.000269268,-0.000506053
2/13/2014,1829.83,7.511978345,0.005793241,-0.005810055,-0.000665173
2/14/2014,1838.63,7.516776008,0.004797663,-0.00480919,-0.000789494
2/18/2014,1840.76,7.517933809,0.001157801,-0.001158471,-0.000800563
